二期-win10-01,Microsoft Windows 10 (64-bit),
二期-centos8-48,CentOS 8 (64-bit),192.168.106.9
二期-ubuntu06,Ubuntu Linux (64-bit),192.168.106.22
二期-debian8,Debian GNU/Linux 8 (64-bit),
二期-debian11,Debian GNU/Linux 11 (64-bit),
二期-win2019-187,Microsoft Windows Server 2019 (64-bit),
主机漏洞测试,Microsoft Windows 7 (64-bit),
二期-win8-113,Microsoft Windows 8.x (64-bit),
漏洞复测-ubuntu16-03,Ubuntu Linux (64-bit),192.168.106.33
二期-debian10,Debian GNU/Linux 10 (64-bit),
v2.2-win7,Microsoft Windows 7 (64-bit),
大数据04,Ubuntu Linux (64-bit),192.168.110.151
Gateway,Ubuntu Linux (64-bit),
v2.2-centos7,CentOS 7 (64-bit),
漏洞环境机器,CentOS 7 (64-bit),192.168.106.17
安全堡垒机02,Ubuntu Linux (64-bit),192.168.106.36
二期-win10-02,Microsoft Windows 10 (64-bit),
二期-ubuntu-big,Ubuntu Linux (64-bit),192.168.110.40
v2.2-redhat7,Red Hat Enterprise Linux 7 (64-bit),
agent升级测试-106网段,CentOS 7 (64-bit),
陆峰,CentOS 7 (64-bit),192.168.110.164
二期-ubuntu02,Ubuntu Linux (64-bit),192.168.106.18
二期-win2003,Microsoft Windows Server 2003 (64-bit),
弱口令漏洞环境-linux,CentOS 7 (64-bit),192.168.106.151
hadoopslave01-186,Ubuntu Linux (64-bit),192.168.111.186
virusslave01-176,Ubuntu Linux (64-bit),192.168.111.176
agentdcp2-34,CentOS 7 (64-bit),192.168.110.34
agentdcp-26,CentOS 7 (64-bit),192.168.110.26
xiaoshuxiang-centos7,CentOS 7 (64-bit),
Linux-agent3-15,CentOS 7 (64-bit),192.168.110.15
jianrong-centos7 219-zhong勿停,CentOS 7 (64-bit),
jianrong-ubuntu14 74,Ubuntu Linux (64-bit),
jianrong-ubuntu18 80,Ubuntu Linux (64-bit),
jianrong-opensuseT 124,SUSE Linux Enterprise 12 (64-bit),
agentlxy-28,CentOS 7 (64-bit),192.168.110.28
jianrong-opensuse15 192,SUSE Linux Enterprise 15 (64-bit),192.168.110.192
堡垒机3-178,CentOS 7 (64-bit),192.168.110.178
jianrong-win8 182,Microsoft Windows 8.x (64-bit),
jianrong-win2019 57,Microsoft Windows Server 2019 (64-bit),
jianrong-debian11,Debian GNU/Linux 11 (64-bit),192.168.110.168
蜜罐-袁子波-测试01,CentOS 7 (64-bit),
jianrong-win2012 55,Microsoft Windows Server 2012 (64-bit),
提权验收,Microsoft Windows Server 2008 R2 (64-bit),
bljfsj-21,CentOS 7 (64-bit),192.168.110.21
jianrong-opensuse11-237,SUSE Linux Enterprise 11 (64-bit),
jianrong-debian10 179,Debian GNU/Linux 10 (64-bit),
agent性能测试-1,CentOS 7 (64-bit),192.168.110.14
堡垒机1-211,CentOS 7 (64-bit),192.168.110.211
windows-agent1,Microsoft Windows Server 2016 (64-bit),
jianrong-fedora33-228,Red Hat Fedora (64-bit),192.168.110.228
jianrong-redhat7 77,Red Hat Enterprise Linux 7 (64-bit),
Linux-agent1-20,CentOS 7 (64-bit),192.168.110.20
cs-win-agent模板,Microsoft Windows Server 2016 (64-bit),
jianrong-centos6 175,CentOS 6 (64-bit),
jianrong-ubuntu18,Ubuntu Linux (64-bit),
windowsagentfsj,Microsoft Windows Server 2016 (64-bit),
windowsagentlxy,Microsoft Windows Server 2016 (64-bit),
堡垒机4-193,CentOS 7 (64-bit),192.168.110.193
bljnzq-24,CentOS 7 (64-bit),
windows-agent3,Microsoft Windows Server 2016 (64-bit),
堡垒机2-172,CentOS 7 (64-bit),192.168.110.172
大数据迁移,Ubuntu Linux (64-bit),192.168.110.189
Linux-agent2-13,CentOS 7 (64-bit),192.168.110.13
jianrong-fedora34-226,Red Hat Fedora (64-bit),192.168.110.226
centos6-new,CentOS 6 (64-bit),
win16-yz,Microsoft Windows Server 2016 (64-bit),
windows-agent4,Microsoft Windows Server 2016 (64-bit),
jianrong-windows2008,Microsoft Windows Server 2008 (64-bit),
jianrong-win10 152,Microsoft Windows 10 (64-bit),
cs-linux模板14,CentOS 7 (64-bit),
bljdcp-22,CentOS 7 (64-bit),192.168.110.22
windows-agent2,Microsoft Windows Server 2016 (64-bit),
jianrong-debian8 156,Debian GNU/Linux 8 (64-bit),
bljlxy-23,CentOS 7 (64-bit),192.168.110.23
anquan-Ubuntu01文服机器,Ubuntu Linux (64-bit),192.168.110.180
windowsagentdcp,Microsoft Windows Server 2016 (64-bit),
jianrong-centos8 173,CentOS 8 (64-bit),192.168.110.173
Linux-agent4-19,CentOS 7 (64-bit),192.168.110.19
堡垒机test,Ubuntu Linux (64-bit),
agentnzq-32,CentOS 7 (64-bit),192.168.110.32
jianrong-win2008R2  46,Microsoft Windows Server 2008 R2 (64-bit),
jianrong-ubuntu20-125,Ubuntu Linux (64-bit),192.168.110.125
windowsagentnzq,Microsoft Windows Server 2016 (64-bit),
jianrong-win7-1 171,Microsoft Windows 7 (64-bit),
agentfsj-25,CentOS 7 (64-bit),192.168.110.25
jianrong-win2016-10 167,Microsoft Windows Server 2016 (64-bit),
jianrong-redhat6-234,Red Hat Enterprise Linux 6 (64-bit),
弱口令漏洞测试环境-windows,Microsoft Windows Server 2016 (64-bit),
ubuntu16,Ubuntu Linux (64-bit),192.168.110.2
suse11-latest,SUSE Linux Enterprise 11 (64-bit),
192.168.111.20,CentOS 7 (64-bit),
弱口令漏洞测试环境-linux,CentOS 7 (64-bit),192.168.111.17
192.168.111.60,CentOS 7 (64-bit),
蜜罐03,CentOS 7 (64-bit),192.168.110.89
蜜罐04,CentOS 7 (64-bit),10.188.199.1
192.168.111.30,CentOS 7 (64-bit),
t-redis03,CentOS 7 (64-bit),192.168.110.163
蜜罐02,CentOS 7 (64-bit),192.168.110.88
蜜罐05,CentOS 7 (64-bit),10.188.199.1
t-redis01,CentOS 7 (64-bit),192.168.110.160
蜜罐01,CentOS 7 (64-bit),192.168.110.86
openldap-02,CentOS 7 (64-bit),
cs-suse11,SUSE Linux Enterprise 11 (64-bit),
192.168.111.40,CentOS 7 (64-bit),
openldap-01,CentOS 7 (64-bit),
win-192.168.110.5,Microsoft Windows 10 (64-bit),
192.168.111.50,CentOS 7 (64-bit),
t-redis02,CentOS 7 (64-bit),192.168.110.162
redis-01,CentOS 8 (64-bit),192.168.110.241
kafka-01,CentOS 8 (64-bit),192.168.110.147
vm-wiki,Ubuntu Linux (64-bit),192.168.110.220
k8s-02,CentOS 7 (64-bit),
k8s-05,CentOS 7 (64-bit),
k8s-06,CentOS 7 (64-bit),
mysql-02,CentOS 8 (64-bit),192.168.110.236
k8s-07,CentOS 7 (64-bit),
etcd-03,CentOS 7 (64-bit),
k8s-04,CentOS 7 (64-bit),
etcd-02,CentOS 7 (64-bit),
redis-03,CentOS 8 (64-bit),192.168.110.243
vm-zhanglizhi-agent,CentOS 7 (64-bit),
redis-02,CentOS 8 (64-bit),192.168.110.242
vm-gitlab,Ubuntu Linux (64-bit),192.168.110.223
mongodb-02,CentOS 8 (64-bit),192.168.110.247
kafka-03,CentOS 8 (64-bit),192.168.110.53
k8s-01,CentOS 7 (64-bit),
k8s-03,CentOS 7 (64-bit),
kafka-02,CentOS 8 (64-bit),192.168.110.127
mongodb-01,CentOS 8 (64-bit),192.168.110.246
etcd-01,CentOS 7 (64-bit),
nfs,CentOS 7 (64-bit),
mongodb-03,CentOS 8 (64-bit),192.168.110.249
mysql-01,CentOS 8 (64-bit),192.168.110.235
尚付04-48,CentOS 7 (64-bit),192.168.110.48
尚付02-130,CentOS 7 (64-bit),192.168.110.130
大数据01,Ubuntu Linux (64-bit),192.168.110.144
dev-savapi,CentOS 7 (64-bit),
尚付01-110,CentOS 7 (64-bit),192.168.110.110
监控测试,CentOS 7 (64-bit),192.168.110.107
夏慈春-ubuntu2016,Ubuntu Linux (64-bit),192.168.110.142
wumiao-pc,Ubuntu Linux (64-bit),192.168.110.216
大数据03,Ubuntu Linux (64-bit),192.168.110.149
夏慈春-win2016,Microsoft Windows Server 2016 (64-bit),
尚付03-47,CentOS 7 (64-bit),192.168.110.47
私有堡垒机,Ubuntu Linux (64-bit),192.168.110.45
test-savapi,CentOS 7 (64-bit),
大数据02,Ubuntu Linux (64-bit),192.168.110.146
hadoopmaster-back,Ubuntu Linux (64-bit),192.168.111.185
大数据出口-189,CentOS 7 (64-bit),192.168.111.189
hadoopslave03-188（病毒样本库从节点）,Ubuntu Linux (64-bit),192.168.111.188
剑幕,Ubuntu Linux (64-bit),192.168.111.15
es02-128,CentOS 7 (64-bit),192.168.110.128
es01-119,CentOS 7 (64-bit),192.168.110.119
ycd,CentOS 7 (64-bit),172.18.0.1
es03-133,CentOS 7 (64-bit),192.168.110.133
爬虫01-148,CentOS 7 (64-bit),192.168.110.148
爬虫02-153,CentOS 7 (64-bit),192.168.110.153
openwrt,Ubuntu Linux (64-bit),
hadoopslave02-187,Ubuntu Linux (64-bit),192.168.111.187
XDR开发机器-centos7-173,CentOS 7 (64-bit),192.168.110.224
spider-dev,CentOS 7 (64-bit),172.23.0.1
大数据-06-206,Ubuntu Linux (64-bit),192.168.110.206
k8s-11,CentOS 7 (64-bit),
k8s-12,CentOS 7 (64-bit),
2.1-Ai蓝军win-04,Microsoft Windows Server 2016 (64-bit),
2.1-Ai蓝军02,CentOS 7 (64-bit),
2.1-Ai蓝军01,CentOS 7 (64-bit),
kafka-loki,CentOS 7 (64-bit),
k8s-15,Ubuntu Linux (64-bit),
XDR开发机器-ubuntu-174,Ubuntu Linux (64-bit),192.168.110.174
k8s-13,CentOS 7 (64-bit),
k8s-14,CentOS 7 (64-bit),
2.1-Ai蓝军03,CentOS 7 (64-bit),
官网,CentOS 7 (64-bit),
virusslave02-177,Ubuntu Linux (64-bit),192.168.111.177
virusmaster-175,Ubuntu Linux (64-bit),192.168.111.175
virusslave03-数仓-178,Ubuntu Linux (64-bit),192.168.111.178
fort-download,CentOS 7 (64-bit),192.168.110.3
产品机器,CentOS 7 (64-bit),192.168.110.134
jenkins,CentOS 7 (64-bit),192.168.110.43
nexus,CentOS 7 (64-bit),192.168.110.135
禅道,CentOS 7 (64-bit),
k8s-08,CentOS 7 (64-bit),192.168.110.87
fort,CentOS 7 (64-bit),172.19.0.1
front-nginx,CentOS 7 (64-bit),
coredns,CentOS 7 (64-bit),192.168.110.244
k8s-09,CentOS 7 (64-bit),192.168.110.31
堡垒机-1,CentOS 7 (64-bit),
oracle,CentOS 7 (64-bit),192.168.110.61
agent-linux-1,CentOS 7 (64-bit),
VMware vCenter Server,Other 3.x or later Linux (64-bit),192.168.110.66
agent,CentOS 7 (64-bit),192.168.110.208
