宿主机,虚拟机,系统,IP地址
t-redis02,CentOS 7 (64-bit),192.168.110.162,guestToolsRunning
redis-01,CentOS 8 (64-bit),192.168.110.241,guestToolsRunning
kafka-01,CentOS 8 (64-bit),192.168.110.147,guestToolsRunning
vm-wiki,Ubuntu Linux (64-bit),192.168.110.220,guestToolsRunning
k8s-02,CentOS 7 (64-bit),,guestToolsNotRunning
k8s-05,CentOS 7 (64-bit),,guestToolsNotRunning
k8s-06,CentOS 7 (64-bit),,guestToolsNotRunning
mysql-02,CentOS 8 (64-bit),192.168.110.236,guestToolsRunning
k8s-07,CentOS 7 (64-bit),,guestToolsNotRunning
etcd-03,CentOS 7 (64-bit),,guestToolsNotRunning
k8s-04,CentOS 7 (64-bit),,guestToolsNotRunning
etcd-02,CentOS 7 (64-bit),,guestToolsNotRunning
redis-03,CentOS 8 (64-bit),192.168.110.243,guestToolsRunning
vm-zhanglizhi-agent,CentOS 7 (64-bit),,guestToolsNotRunning
redis-02,CentOS 8 (64-bit),192.168.110.242,guestToolsRunning
vm-gitlab,Ubuntu Linux (64-bit),192.168.110.223,guestToolsRunning
mongodb-02,CentOS 8 (64-bit),192.168.110.247,guestToolsRunning
kafka-03,CentOS 8 (64-bit),192.168.110.53,guestToolsRunning
k8s-01,CentOS 7 (64-bit),,guestToolsNotRunning
k8s-03,CentOS 7 (64-bit),,guestToolsNotRunning
kafka-02,CentOS 8 (64-bit),192.168.110.127,guestToolsRunning
mongodb-01,CentOS 8 (64-bit),192.168.110.246,guestToolsRunning
etcd-01,CentOS 7 (64-bit),,guestToolsNotRunning
nfs,CentOS 7 (64-bit),,guestToolsNotRunning
mongodb-03,CentOS 8 (64-bit),192.168.110.249,guestToolsRunning
mysql-01,CentOS 8 (64-bit),192.168.110.235,guestToolsRunning
尚付04-48,CentOS 7 (64-bit),192.168.110.48,guestToolsRunning
尚付02-130,CentOS 7 (64-bit),192.168.110.130,guestToolsRunning
大数据01,Ubuntu Linux (64-bit),192.168.110.144,guestToolsRunning
dev-savapi,CentOS 7 (64-bit),,guestToolsNotRunning
尚付01-110,CentOS 7 (64-bit),192.168.110.110,guestToolsRunning
监控测试,CentOS 7 (64-bit),192.168.110.107,guestToolsRunning
夏慈春-ubuntu2016,Ubuntu Linux (64-bit),192.168.110.142,guestToolsRunning
wumiao-pc,Ubuntu Linux (64-bit),192.168.110.216,guestToolsRunning
大数据,Ubuntu Linux (64-bit),,guestToolsNotRunning
大数据03,Ubuntu Linux (64-bit),192.168.110.149,guestToolsRunning
夏慈春-win2016,Microsoft Windows Server 2016 (64-bit),,guestToolsNotRunning
尚付03-47,CentOS 7 (64-bit),192.168.110.47,guestToolsRunning
私有堡垒机,Ubuntu Linux (64-bit),192.168.110.45,guestToolsRunning
test-savapi,CentOS 7 (64-bit),,guestToolsNotRunning
大数据02,Ubuntu Linux (64-bit),192.168.110.146,guestToolsRunning
hadoopmaster-back,Ubuntu Linux (64-bit),192.168.111.185,guestToolsRunning
大数据出口-189,CentOS 7 (64-bit),192.168.111.189,guestToolsRunning
hadoopslave03-188（病毒样本库从节点）,Ubuntu Linux (64-bit),192.168.111.188,guestToolsRunning
剑幕,Ubuntu Linux (64-bit),192.168.111.15,guestToolsRunning
es02-128,CentOS 7 (64-bit),192.168.110.128,guestToolsRunning
es01-119,CentOS 7 (64-bit),192.168.110.119,guestToolsRunning
ycd,CentOS 7 (64-bit),172.18.0.1,guestToolsRunning
es03-133,CentOS 7 (64-bit),192.168.110.133,guestToolsRunning
爬虫01-148,CentOS 7 (64-bit),192.168.110.148,guestToolsRunning
爬虫02-153,CentOS 7 (64-bit),192.168.110.153,guestToolsRunning
openwrt,Ubuntu Linux (64-bit),,guestToolsNotRunning
hadoopslave02-187,Ubuntu Linux (64-bit),192.168.111.187,guestToolsRunning
XDR开发机器-centos7-173,CentOS 7 (64-bit),192.168.110.224,guestToolsRunning
spider-dev,CentOS 7 (64-bit),172.23.0.1,guestToolsRunning
大数据-06-206,Ubuntu Linux (64-bit),192.168.110.206,guestToolsRunning
k8s-11,CentOS 7 (64-bit),,guestToolsNotRunning
k8s-12,CentOS 7 (64-bit),,guestToolsNotRunning
2.1-Ai蓝军win-04,Microsoft Windows Server 2016 (64-bit),,guestToolsNotRunning
2.1-Ai蓝军02,CentOS 7 (64-bit),,guestToolsNotRunning
2.1-Ai蓝军01,CentOS 7 (64-bit),,guestToolsNotRunning
kafka-loki,CentOS 7 (64-bit),,guestToolsNotRunning
k8s-15,Ubuntu Linux (64-bit),,guestToolsNotRunning
XDR开发机器-ubuntu-174,Ubuntu Linux (64-bit),192.168.110.174,guestToolsRunning
k8s-13,CentOS 7 (64-bit),,guestToolsNotRunning
k8s-14,CentOS 7 (64-bit),,guestToolsNotRunning
k8s-node,CentOS 7 (64-bit),,guestToolsNotRunning
2.1-Ai蓝军03,CentOS 7 (64-bit),,guestToolsNotRunning
官网,CentOS 7 (64-bit),,guestToolsNotRunning
virusslave02-177,Ubuntu Linux (64-bit),192.168.111.177,guestToolsRunning
virusmaster-175,Ubuntu Linux (64-bit),192.168.111.175,guestToolsRunning
virusslave03-数仓-178,Ubuntu Linux (64-bit),192.168.111.178,guestToolsRunning
fort-download,CentOS 7 (64-bit),192.168.110.3,guestToolsRunning
产品机器,CentOS 7 (64-bit),192.168.110.134,guestToolsRunning
jenkins,CentOS 7 (64-bit),192.168.110.43,guestToolsRunning
nexus,CentOS 7 (64-bit),192.168.110.135,guestToolsRunning
禅道,CentOS 7 (64-bit),,guestToolsNotRunning
k8s-08,CentOS 7 (64-bit),192.168.110.87,guestToolsRunning
fort,CentOS 7 (64-bit),172.19.0.1,guestToolsRunning
front-nginx,CentOS 7 (64-bit),,guestToolsNotRunning
coredns,CentOS 7 (64-bit),192.168.110.244,guestToolsRunning
k8s-09,CentOS 7 (64-bit),192.168.110.31,guestToolsRunning
堡垒机-1,CentOS 7 (64-bit),,guestToolsNotRunning
oracle,CentOS 7 (64-bit),192.168.110.61,guestToolsRunning
sonar,CentOS 7 (64-bit),192.168.110.51,guestToolsRunning
1c2g50g-centos7,CentOS 7 (64-bit),,guestToolsNotRunning
agent-linux-1,CentOS 7 (64-bit),,guestToolsNotRunning
VMware vCenter Server,Other 3.x or later Linux (64-bit),192.168.110.66,guestToolsRunning
agent,CentOS 7 (64-bit),192.168.110.208,guestToolsRunning
